bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
"Blue Ridge Bank and TransPecos Banks, SSB; TransPecos Banks, SSB",2025-H1,1,Crowded,1,Crowded,0,,0,,0,
Blue Ridge Bank or Thread Bank,2024-H2,1,Nav,1,Nav,0,,0,,0,
"Blue Ridge Bank, Pacific West Bank",2024-H2,1,Benepass,0,,0,,0,,0,
"Blue Ridge Bank, Thread Bank",2024-H1,1,TruckSmarter,1,TruckSmarter,0,,0,,0,
"Blue Ridge Bank, Thread Bank",2024-H2,2,Levro; Nav,1,Levro,0,,0,,0,
"Blue Ridge Bank, Thread Bank, Members FDIC",2024-H2,1,Nav,1,Nav,0,,0,,0,
"Blue Ridge Bank, Thread Bank; Thread Bank, a bank chartered under the laws of the State of Tennessee",2023-H2,1,Ampla,0,,0,,0,,0,
"Blue Ridge Bank, Thread Bank; Thread Bank, a bank chartered under the laws of the State of Tennessee, a member of the Federal Deposit Insurance Corporation (FDIC)",2024-H1,1,Ampla,0,,1,Ampla,0,,0,
"Blue Ridge Bank, TransPecos Banks, SSB",2024-H2,1,Stake Rent,1,Stake Rent,0,,0,,0,
"Blue Ridge Bank, TransPecos Banks, SSB",2025-H1,1,Crowded,0,,0,,0,,0,
"Blue Ridge Bank, Unit Fince Inc.",2024-H1,1,Vergo,0,,0,,0,,0,
Blue Ridge Bank;,2021-H1,1,Moves Financial,0,,0,,0,,0,
Blue Ridge Bank;,2022-H1,1,Moves Financial,0,,0,,0,,0,
Blue Ridge Bank;,2024-H2,1,Ivella,0,,0,,0,,0,
Blue Ridge Bank; Blue Ridge Bank,2022-H2,1,Globalfy,0,,0,,0,,0,
Blue Ridge Bank; Blue Ridge Bank,2023-H1,2,Novel; Ampla,1,Novel,1,Ampla,0,,0,
Blue Ridge Bank; Blue Ridge Bank,2023-H2,1,Globalfy,0,,0,,0,,0,
Blue Ridge Bank; Blue Ridge Bank and Thread Bank,2024-H1,1,Baselane,1,Baselane,0,,0,,0,
Blue Ridge Bank; Blue Ridge Bank; Thread Bank,2023-H2,1,Ampla,0,,1,Ampla,0,,0,
Blue Ridge Bank;; Blue Ridge Bank,2024-H1,1,Globalfy,0,,0,,0,,0,
Blue Ridge Banktiol Association,2021-H1,1,SpotOn,0,,1,SpotOn,0,,0,
Blue Ridge Banktiol Association,2022-H1,1,SpotOn,0,,1,SpotOn,0,,0,
BofI Federal Bank,2016-H1,1,H R Block,0,,0,,0,,0,
BofI Federal Bank,2016-H2,1,H R Block,0,,0,,0,,0,
BofI Federal Bank,2017-H1,1,H R Block,0,,0,,0,,0,
BofI Federal Bank,2017-H2,1,H R Block,0,,0,,0,,0,
BofI Federal Bank,2018-H1,1,H R Block,0,,0,,0,,0,
BofI Federal Bank,2018-H2,1,H R Block,0,,0,,0,,0,
Brex Treasury LLC,2023-H2,1,Brex,1,Brex,0,,0,,0,
Brex Treasury LLC,2026-H1,1,Brex,0,,0,,0,,0,
BuoyFi and Sypse’s partner banks,2023-H1,1,BuoyFi,0,,0,,0,,0,
CBW Bank,2019-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
CBW Bank,2020-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
CBW Bank,2020-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
CBW Bank,2024-H1,1,Cledara,0,,0,,0,,0,
CBW Bank and First Electronic Bank,2025-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2021-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2022-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2022-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2023-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2023-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2024-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank",2024-H2,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, First Electronic Bank, Column",2026-H1,1,CreditFresh,0,,1,CreditFresh,0,,0,
"CBW Bank, PayrNet UK Limited",2022-H1,1,Cledara,0,,0,,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2022-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2022-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2023-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2023-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2024-H1,1,MoneyKey,0,,1,MoneyKey,0,,0,
"CC Flow, a division of Capital Community Bank (CCBank)",2024-H2,1,MoneyKey,0,,1,MoneyKey,0,,0,
